ISSN,Título,Estrato
1980-5764,Dementia & Neuropsychologia,B3
0109-5641,Dental Materials,A1
2161-1122,Dentistry,B5
2317-949X,Desafio Online,B5
Nov-64,Desalination (Amsterdam),A1
2237-6453,Desenvolvimento em Questão,B5
0925-9635,Diamond and Related Materials,B1
1012-0386,"Diffusion and Defect Data, Solid State Data. Part A, Defect and Diffusion Forum",B2
1012-0394,"Diffusion and Defect Data, Solid State Data. Part B, Solid State Phenomena",B2
2171-6323,Direccion y Organizacion (online),B3
0166-218X,Discrete Applied Mathematics,B1
1365-8050,Discrete Mathematics and Theoretical Computer Science (Online),B5
2175-3687,Diálogo e Interação,B5
1435-4934,E-Journal of Nondestructive Testing and Ultrasonics,B5
1983-1838,E-tech: Tecnologias para Competitividade Industrial,B5
1938-5862,ECS Transactions,B5
1938-6737,ECS Transactions (Online),B5
2100-014X,EPJ Web of Conferences,B5
1476-945X,Ecological Complexity (Print),B1
0304-3800,Ecological Modelling,B1
1809-080X,Economia & Tecnologia (UFPR),B5
1413-8050,Economia Aplicada (Impresso),B2
0264-9993,Economic Modelling,B1
0147-6513,Ecotoxicology and Environmental Safety,B1
1414-3895,Educação Gráfica (UNESP. Bauru),B5
0378-7796,Electric Power Systems Research (Print),B1
1040-0397,"Electroanalysis (New York, N.Y.)",B1
0013-4686,Electrochimica Acta,A1
0013-5194,Electronics Letters,B1
2229-712X,Elixir International Journal,B5
1809-0583,Enciclopédia Biosfera,B5
1808-8759,Energia na Agricultura (UNESP. Botucatú. CD-Rom),B4
1520-5029,Energy & Fuels (Online),A2
0887-0624,Energy & Fuels (Print),A2
0360-5442,Energy (Oxford),A1
0196-8904,Energy Conversion and Management,A1
0140-9883,Energy Economics,A1
1570-6478,Energy Efficiency (Online),B1
0301-4215,Energy Policy,A2
1876-6102,Energy Procedia,B5
0973-0826,Energy Sustainable Development,B1
0378-7788,Energy and Buildings,A1
0100-6916,Engenharia Agrícola (Impresso),B2
1413-4152,Engenharia Sanitária e Ambiental,B2
1676-1790,Engenharia Térmica,B4
1415-7314,Engevista (UFF),B4
1947-3931,Engineering,B5
0952-1976,Engineering Applications of Artificial Intelligence,A2
0264-4401,Engineering Computations,B1
1350-6307,Engineering Failure Analysis,A2
1042-9247,Engineering Management Journal,B2
1029-0273,Engineering Optimization (Online),A2
0305-215X,Engineering Optimization (Print),A2
2179-7625,Engineering Research,B5
0141-0296,Engineering Structures,A2
1435-5663,Engineering with Computers (Internet),B2
0104-4036,Ensaio (Fundação Cesgranrio. Impresso),B2
1983-7011,"Ensino, Saúde e Ambiente",B5
1751-7575,Enterprise Information Systems (Print),B2
0013-8703,Entomologia Experimentalis et Applicata (Print),A1
1099-4300,Entropy (Basel. Online),B1
1866-6299,Environmental Earth Sciences (Internet),B1
1582-9596,Environmental Engineering and Management Journal (Print),B1
1573-2959,Environmental Monitoring and Assessment (Dordrecht. Online),B2
1944-7442,Environmental Progress & Sustainable Energy (Print),B1
1462-9011,Environmental Science & Policy,A1
0013-936X,Environmental Science & Technology,A1
0944-1344,Environmental Science and Pollution Research International,A2
0959-3330,Environmental Technology,B1
1614-7499,Environmetal Science and Pollution Research International (Internet),B2
1414-8145,Escola Anna Nery,B4
0798-1015,Espacios (Caracas),B3
1808-7310,Estudos Tecnológicos (Online),B5
2316-4018,Estudos de Literatura Brasileira Contemporânea,B5
1982-4718,Estudos de Sociologia,B5
1983-196X,Estudos em Design (Online),B4
2178-2413,European International Journal of Science and Technology,B5
2235-767X,European Journal of Business and Social Sciences,B4
1434-1948,European Journal of Inorganic Chemistry (Print),A2
0997-7538,"European Journal of Mechanics. A, Solids",A2
0997-7546,"European Journal of Mechanics. B, Fluids",B1
0377-2217,European Journal of Operational Research,A1
0928-0987,European Journal of Pharmaceutical Sciences,A2
1450-216X,European Journal of Scientific Research,B5
1434-6052,European Physical Journal C. Particles and Fields,B2
2190-5444,European Physical Journal Plus,B1
1983-9308,Exacta (Online),B4
1678-5428,Exacta (São Paulo. Impresso),B4
0732-8818,"Experimental Techniques (Westport, Conn.)",B1
0894-1777,Experimental Thermal and Fluid Science,A1
0957-4174,Expert Systems with Applications,A2
2538-8195,Expressa Extensão (UFPel),B5
1516-6503,FACEF Pesquisa,B4
8756-758X,Fatigue & Fracture of Engineering Materials & Structures (Print),B1
1981-240X,Ferramental (Curitiba),B5
0015-0193,Ferroelectrics (Print),B2
1867-8521,Field Actions Science Reports,B3
0354-5180,Filomat (Univerzitet u Nishu),B1
0168-874X,Finite Elements in Analysis and Design,A2
0955-5986,Flow Measurement and Instrumentation,B1
0378-3812,Fluid Phase Equilibria,A1
1981-223X,Foco (Faculdade Novo Milênio),B5
0956-7135,Food Control,A1
0950-3293,Food Quality and Preference,A1
0963-9969,Food Research International,A1
0379-0738,Forensic Science International,A2
1872-4973,Forensic Science International. Genetics (Print),A2
0922-6389,Frontiers in Artificial Intelligence and Applications,B5
2296-858X,Frontiers in Medicine,B4
1673-7377,Frontiers of Materials Science in China (Print),B2
0016-2361,Fuel (Guildford),A1
0378-3820,Fuel Processing Technology,A1
1536-383X,"Fullerenes, Nanotubes, and Carbon Nanostructures",B2
0167-739X,Future Generation Computer Systems,A1
2175-5825,Future Studies Research Journal,B4
1980-0827,Fórum Ambiental da Alta Paulista,B5
1809-614X,"GEPROS. Gestão da Produção, Operações e Sistemas",B4
1984-2430,"GEPROS. Gestão da Produção, Operações e Sistemas (Online)",B4
Jan-01,General Relativity and Gravitation,B1
1676-5680,Genetics and Molecular Research,B2
0100-7912,Geografia (Rio Claro. Impresso),B5
0016-8025,Geophysical Prospecting (Print),B1
0016-8033,Geophysics,B1
1991-9603,Geoscientific Model Development,A1
0379-9522,Geotecnia (Lisboa),B4
1806-9649,Gestão & Produção,B3
0104-530X,Gestão & Produção (UFSCAR. Impresso),B3
0975-5861,Global Journal of Researches in Engineering,B5
0975-5896,Global Journal of Science Frontier Research,B5
1676-2819,Global Manager (FSG),B5
0926-2644,Group Decision and Negotiation,A2
1284-9340,Géoéconomie,B4
1519-8634,HOLOS Environment (Online),B4
1078-9669,HVAC & R Research,B1
1386-9620,Health Care Management Science,B1
0145-7632,Heat Transfer Engineering,B1
0018-1544,High Temperatures. High Pressures (Print),B2
0101-9171,Higiene Alimentar,B5
2359-2370,História Unicap,B5
1518-1634,Holos (Natal. Impresso),B4
1807-1600,Holos (Natal. Online),B4
0018-3768,Holz als Roh- und Werkstoff (Print) / European Journal of Wood and Wood Products (Print),B1
0102-0536,Horticultura Brasileira (Impresso),B1
2330-8001,Human Computation,B4
0163-8548,Human Studies,B1
1980-2218,Hydro (São Paulo),B5
0885-6087,Hydrological Processes (Print),A1
1812-2116,Hydrology and Earth System Sciences Discussions (Online),B4
1980-1726,Hygeia : Revista Brasileira de Geografia Médica e da Saúde (Uberlândia),B5
1041-1135,IEEE Photonics Technology Letters,A2
0278-6648,IEEE Potentials,B3
1530-437X,IEEE Sensors Journal,A2
1053-5888,IEEE Signal Processing Magazine (Print),B5
1932-8184,IEEE Systems Journal,A2
1051-8223,IEEE Transactions on Applied Superconductivity (Print),B1
0018-9286,IEEE Transactions on Automatic Control (Print),A1
1549-8328,"IEEE Transactions on Circuits and Systems. I, Regular Papers (Print)",A1
1063-6536,IEEE Transactions on Control Systems Technology (Print),A1
0093-9994,IEEE Transactions on Industry Applications,A1
0018-9456,IEEE Transactions on Instrumentation and Measurement,A2
0018-9464,IEEE Transactions on Magnetics,B1
0093-3813,IEEE Transactions on Plasma Science,B1
0885-8977,IEEE Transactions on Power Delivery,A2
0885-8993,IEEE Transactions on Power Electronics,A1
0885-8950,IEEE Transactions on Power Systems,A1
1053-587X,IEEE Transactions on Signal Processing,A1
1083-4435,IEEE/ASME Transactions on Mechatronics,A1
1751-8644,IET Control Theory & Applications (Print),B1
1752-1416,IET Renewable Power Generation (Print),A2
1751-8822,"IET Science, Measurement & Technology (Print)",B1
1868-4238,IFIP Advances in Information and Communication Technology,B3
2227-2712,IJET: International Journal of Engineering & Technology,B5
2157-930X,INNOVATION AND DEVELOPMENT,B4
0219-6220,INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,A2
1757-899X,IOP Conference Series: Materials Science and Engineering (Online),B5
1757-8981,IOP Conference Series: Materials Science and Engineering (Print),B5
2250-3021,IOSR Journal of Engineering,C 
2278-8719,IOSRJEN Journal of Engineering,C 
0019-0578,ISA Transactions,A2
2090-861X,ISRN Chemical Engineering,B5
2175-8018,Iberoamerican Journal of Industrial Engineering,B4
2027-7040,Iberoamerican Journal of Project Management (IJoPM),B5
1888-0967,Ibersid (Zaragoza),B3
1678-6661,Implant News,B5
2317-417X,InCantare,B4
2236-269X,Independent Journal of Management & Production,B5
0970-9290,Indian Journal of Dental Research,B2
0975-962X,Indian Journal of Dentistry,B4
0970-0358,Indian Journal of Plastic Surgery,B2
0888-5885,Industrial & Engineering Chemistry Research,A2
0036-8792,Industrial Lubrication and Tribology,B2
0263-5577,Industrial Management + Data Systems,B1
0143-991X,Industrial Robot,B1
0019-7858,Industrial and Commercial Training,B2
1808-5377,Infodesign (SBDI. Online),B5
1566-2535,Information Fusion (Print),A1
0020-0190,Information Processing Letters (Print),B1
0020-0255,Information Sciences,A1
0950-5849,Information and Software Technology,A2
1981-8920,Informação & Informação (UEL. Online),B4
1809-4783,Informação & Sociedade (UFPB. Online),B2
1679-415X,Informe GEPEC (Online),B5
1982-1654,Informática na Educação (Online),B5
0718-3305,Ingeniare. Revista Chilena de Ingeniería (En línea),B3
0718-3291,Ingeniare. Revista Chilena de Ingeniería (Impresa),B3
1815-5944,Ingenieria Mecanica (Online),B5
1665-529X,Ingenieria Revista Academica de la Facultad de Ingenieria Universidad Autonoma de Yucatan,B5
1405-7743,"Ingenieria, Investigacion y Tecnologia",B5
2346-0466,Ingeniería e Innovación,B5
0123-3033,Ingeniería y Competitividad,B5
0121-5051,Innovar (Universidad Nacional de Colombia),B3
1387-7003,Inorganic Chemistry Communications,B1
0965-1748,Insect Biochemistry and Molecular Biology,A1
1679-8902,Intellectus. Revista Acadêmica Digital da Faculdade de Jaguariúna,B5
16799844,InterScience Place,B4
1679-9844,InterScience Place,B4
1519-8847,Interagir (UERJ),B5
0378-1844,Interciencia (Caracas),B2
0092-2102,Interfaces (Providence),B1
1809-9777,International Archives of Otorhinolaryngology (Print),B3
1993-5250,International Business Management,B5
1913-9012,International Business Research,B5
0735-1933,International Communications in Heat and Mass Transfer,A2
1569-3767,International Finance Review,B3
0029-5981,International Journal for Numerical Methods in Engineering (Print),A1
0271-2091,International Journal for Numerical Methods in Fluids (Print),B1
1740-8008,"International Journal of Accounting, Auditing and Performance Evaluation (Print)",B3
1027-5851,International Journal of Acoustics and Vibration,B2
0143-7496,International Journal of Adhesion and Adhesives,A2
1433-3015,International Journal of Advanced Manufacturing Technology (Internet),B2
1758-938X,International Journal of Advanced Operations Management,B4
2228-6322,International Journal of AgriScience,B5
1934-6352,International Journal of Agricultural and Biological Engineering,B2
1687-5869,International Journal of Antennas and Propagation (Print),B1
1546-542X,International Journal of Applied Ceramic Technology,A1
1734-4492,International Journal of Applied Mechanics and Engineering,B4
2221-0997,International Journal of Applied Science and Technology,B5
1301-9724,International Journal of Applied Thermodynamics,B2
0888-613X,International Journal of Approximate Reasoning,A2
1476-8186,International Journal of Automation and Computing,B2
1470-9511,International Journal of Automotive Technology and Management,B2
1687-8787,International Journal of Biomaterials,B2
1756-0047,International Journal of Business Excellence (Print),B4
1751-0252,International Journal of Business Innovation and Research (Print),B2
1913-3715,"International Journal of Communications, Network and System Sciences",B5
2166-479X,International Journal of Composite Materials,B5
1793-6969,International Journal of Computational Methods,B1
0975-8887,International Journal of Computer Applications,B4
0951-192X,International Journal of Computer Integrated Manufacturing (Print),B1
1793-8201,International Journal of Computer Theory and Engineering,B5
1358-8265,International Journal of Crashworthiness,B1
2165-8919,International Journal of Ecosystem,B5
0142-0615,International Journal of Electrical Power & Energy Systems,B2
1452-3981,International Journal of Electrochemical Science (Online),B1
1362-3060,International Journal of Electronics (Online),B2
0363-907X,International Journal of Energy Research (Print),A1
0949-149X,International Journal of Engineering Education,B2
2278-0181,International Journal of Engineering Research & Technology,B5
2248-9622,International Journal of Engineering Research and Applications (IJERA),B5
2278-067X,International Journal of Engineering Research and Development,C 
2278-800X,International Journal of Engineering Research and Development,C 
0020-7225,International Journal of Engineering Science,A1
2305-8269,International Journal of Engineering and Applied Sciences,B5
0142-1123,International Journal of Fatigue,A2
1439-9776,International Journal of Fluid Power,B2
1094-2912,International Journal of Food Properties,B1
0950-5423,International Journal of Food Science & Technology (Print),B1
1459-0263,"International Journal of Food, Agriculture and Environment (Online)",B2
1365-8816,International Journal of Geographical Information Science (Print),B1
2156-8359,International Journal of Geosciences,C 
1476-072X,International Journal of Health Geographics,B1
0142-727X,International Journal of Heat and Fluid Flow,A1
0017-9310,International Journal of Heat and Mass Transfer,A1
0360-3199,International Journal of Hydrogen Energy,B1
1943-670X,International Journal of Industrial Engineering (Online),B2
0169-8141,International Journal of Industrial Ergonomics,B1
0268-4012,International Journal of Information Management,A1
1471-8197,International Journal of Innovation and Learning (Print),B2
1740-8830,International Journal of Innovation and Sustainable Development,B2
0937-9827,International Journal of Legal Medicine (Print),A2
1742-7967,International Journal of Logistics Systems and Management (Print),B2
0890-6955,International Journal of Machine Tools & Manufacture,A1
1753-8378,International Journal of Managing Projects in Business (Print),B4
0268-1900,International Journal of Materials & Product Technology,B2
2166-5389,International Journal of Materials Engineering,C 
2166-5400,International Journal of Materials Engineering,C 
0975-0444,International Journal of Materials Engineering and Technology,B4
1312-8876,International Journal of Mathematical Analysis,C 
0306-4190,International Journal of Mechanical Engineering Education,B2
0020-7403,International Journal of Mechanical Sciences,A1
2107-6839,International Journal of Metrology and Quality Engineering,B3
1982-6036,International Journal of Modeling and Simulation for the Petroleum Industry (Impresso),B4
1982-6028,International Journal of Modeling and Simulation for the Petroleum Industry (Online),B4
0301-9322,International Journal of Multiphase Flow,A1
1947-928X,International Journal of Natural Computing Research,B4
1470-9503,International Journal of Networking and Virtual Organisations,B3
0020-7462,International Journal of Non-Linear Mechanics,A2
1741-6361,"International Journal of Nuclear Energy, Science and Technology (Print)",B2
1053-5381,International Journal of Offshore and Polar Engineering,B2
1753-3309,"International Journal of Oil, Gas and Coal Tecnology (IJOGCT)",B2
0144-3577,International Journal of Operations & Production Management,A2
2228-7558,International Journal of Optimization in Civil Engineering,C 
0973-1318,International Journal of Performability Engineering,B2
1110-662X,International Journal of Photoenergy (Print),C 
0960-0035,International Journal of Physical Distribution & Logistics Management,A2
0749-6419,International Journal of Plasticity,A1
1687-9430,International Journal of Polymer Science,B2
0308-0161,International Journal of Pressure Vessels and Piping,B1
1477-9056,International Journal of Product Development (Print),B2
0925-5273,International Journal of Production Economics,C 
1366-588X,International Journal of Production Research,A2
0020-7543,International Journal of Production Research (Print),A2
0263-7863,International Journal of Project Management,A2
1311-8080,International Journal of Pure and Applied Mathematics,C 
0265-671X,International Journal of Quality and Reliability Management,B2
1757-8817,International Journal of Rapid Manufacturing (Print),B4
0140-7007,International Journal of Refrigeration,A1
2320-9356,International Journal of Research in Engineering and Science,C 
