ISSN,Título,Estrato
Aug-46,Cement and Concrete Research,A1
0272-8842,Ceramics International,A1
0366-6913,Cerâmica (São Paulo. Impresso),B2
1413-4608,Cerâmica Industrial (Impresso),B4
1867-3880,ChemCatChem,B2
1385-8947,Chemical Engineering Journal (1996),A1
0263-8762,Chemical Engineering Research & Design,B1
1974-9791,Chemical Engineering Transactions,B3
Sep-14,Chemical Physics Letters (Print),B2
0045-6535,Chemosphere (Oxford),A1
1984-5529,Científica (Jaboticabal. Online),B5
1982-0801,Científica Cet-Faesa,C 
1983-4071,Ciência & Engenharia,B2
0103-944X,Ciência & Engenharia (UFU. Impresso),B2
0103-9954,Ciência Florestal (UFSM. Impresso),B1
0101-8515,Ciência Hoje,B4
1413-7054,Ciência e Agrotecnologia (UFLA),B1
2179-460X,Ciência e Natura,B4
1413-8123,Ciência e Saúde Coletiva (Impresso),B1
2317-4595,Ciência e Sociedade,C 
1863-0650,Clean (Weinheim. Print),A1
1618-954X,Clean Technologies and Environmental Policy (Print),A1
0165-0009,Climatic Change,A2
1573-1480,Climatic Change (online),B1
2317-1782,CoDAS,B5
2239-5598,Colloquia Mediterranea,C 
Oct-24,Communications in Soil Science and Plant Analysis,B2
1585-8553,Community Ecology (Print),B3
0263-8223,Composite Structures,A1
1359-8368,"Composites. Part B, Engineering",A2
0927-0256,Computational Materials Science,A2
1432-0924,Computational Mechanics (Berlin. Internet),A1
0045-7825,Computer Methods in Applied Mechanics and Engineering,A1
1526-1506,Computer Modeling in Engineering & Sciences,B2
1526-1492,Computer Modeling in Engineering & Sciences (Print),B2
0098-3004,Computers & Geosciences,A2
0360-8352,Computers & Industrial Engineering,A2
0305-0548,Computers & Operations Research,B1
0045-7949,Computers & Structures,A1
1598-8198,"Computers and Concrete, an International Journal (Print)",A2
0266-352X,Computers and Geotechnics,A2
2177-5133,Comunicata Scientiae (Online),B3
0873-948X,Comunicações Geológicas,B5
1519-7204,Conceitos (João Pessoa),B5
1809-7197,Concreto & Contrução,B4
0185-1233,Concreto y Cemento: investigación y desarrollo,B4
2317-3254,Conexão Política - Revistas Eletrônicas da UFPI,C 
1958-9212,Confins (Paris),B3
0950-0618,Construction & Building Materials,A1
2175-7143,Construindo,B5
1677-8642,Construir Nordeste,C 
1519-8898,Construção Mercado (São Paulo),C 
1783-094X,Contextes (Liege),B5
0278-4343,Continental Shelf Research,B1
0935-1175,Continuum Mechanics and Thermodynamics (Print),B1
0100-1485,Corrosão e Proteção,B5
1808-351X,Corte e Conformação de Metais,C 
1432-0991,Current Microbiology,B1
Dec-53,DYNA (Medellín),B1
2317-949X,Desafio Online,B5
Nov-64,Desalination (Amsterdam),A1
1944-3986,Desalination and Water Treatment (Online),B1
1944-3994,Desalination and Water Treatment (Print),B1
1518-952X,Desenvolvimento e Meio Ambiente (UFPR),B4
0103-4383,Divulgacao em Saude para Debate,B5
2175-6716,Drops (São Paulo),C 
1435-4934,E-Journal of Nondestructive Testing and Ultrasonics,B3
1983-1838,E-tech: Tecnologias para Competitividade Industrial,B4
1642-3593,Ecohydrology & Hydrobiology,B2
0925-8574,Ecological Engineering,A1
1470-160X,Ecological Indicators,A1
0304-3800,Ecological Modelling,A1
1708-3087,Ecology and Society: a journal of integrative science for resilience and sustainability,B1
1573-3017,Ecotoxicology (Dordrecht. Online),A2
0963-9292,Ecotoxicology (London),A2
0101-756X,Educação Agrícola Superior,C 
1678-0701,Educação Ambiental em Ação,B5
2238-0515,"Empreendedorismo, Gestão e Negócios  Revista do Curso de Administração",B5
1809-0583,Enciclopédia Biosfera,B5
1754-5692,Energy & Environmental Science (Print),B1
0360-5442,Energy (Oxford),A2
0196-8904,Energy Conversion and Management,A1
0301-4215,Energy Policy,B1
1876-6102,Energy Procedia,B2
0378-7788,Energy and Buildings,A1
0100-6916,Engenharia Agrícola (Impresso),B2
0873-1152,Engenharia Civil UM (Braga),B3
1415-3025,Engenharia Estudo e Pesquisa,B5
1413-4152,Engenharia Sanitária e Ambiental,B1
1809-4457,Engenharia Sanitária e Ambiental (Online),B1
14157314,Engevista (UFF),C 
1415-7314,Engevista (UFF),B5
1947-3931,Engineering,C 
0955-7997,Engineering Analysis with Boundary Elements,A1
0952-1976,Engineering Applications of Artificial Intelligence,A2
0264-4401,Engineering Computations,B1
1350-6307,Engineering Failure Analysis,A2
0013-7952,Engineering Geology,A2
2052-5257,Engineering Science Letters,C 
0141-0296,Engineering Structures,A1
0177-0667,Engineering with Computers,A2
1435-5663,Engineering with Computers (Internet),C 
1316-0257,Entre Rayas (Caracas),B5
1927-0488,Environment and Natural Resources Research,B5
1387-585X,"Environment, Development and Sustainability",B2
1866-6280,Environmental Earth Sciences (Print),A2
1092-8758,Environmental Engineering Science,A2
1582-9596,Environmental Engineering and Management Journal (Print),A2
0364-152X,Environmental Management (New York),A1
1364-8152,Environmental Modelling & Software,A1
1573-2959,Environmental Monitoring and Assessment (Dordrecht. Online),A1
0167-6369,Environmental Monitoring and Assessment (Print),A1
1748-9326,Environmental Research Letters,B2
0944-1344,Environmental Science and Pollution Research International,A1
0959-3330,Environmental Technology,A1
1520-4081,Environmental Toxicology (Print),B1
1552-8618,Environmental Toxicology and Chemistry,A2
1614-7499,Environmetal Science and Pollution Research International (Internet),C 
0798-1015,Espacios (Caracas),B4
1807-8575,Espaço Energia,B4
2317-7837,Espaço e Economia,B5
1559-2723,Estuaries and Coasts,B1
1851-1732,Estudios y Perspectivas en Turismo (En Línea),B5
1678-698X,Estudos Geográficos (UNESP),B4
1983-196X,Estudos em Design (Online),C 
0997-7538,"European Journal of Mechanics. A, Solids",A1
0377-2217,European Journal of Operational Research,B1
0929-1873,European Journal of Plant Pathology,B3
1980-6434,Evocati Revista,C 
1983-9308,Exacta (Online),B4
8756-758X,Fatigue & Fracture of Engineering Materials & Structures (Print),B1
0430-5027,Finisterra (Lisboa. 1966),B3
0168-874X,Finite Elements in Analysis and Design,A2
0379-7112,Fire Safety Journal,A1
0308-0501,Fire and Materials,A2
1982-4688,Floresta (Online) (Curitiba),B4
1415-0980,Floresta e Ambiente,B4
0308-8146,Food Chemistry,B2
0956-7135,Food Control,B2
0378-1127,Forest Ecology and Management,B2
2296-858X,Frontiers in Medicine,C 
2095-2635,Frontiers of Architectural Research,B3
1980-0827,Fórum Ambiental da Alta Paulista,B5
2317-9627,Fórum Municipal & Gestão das Cidades,C 
1984-2430,"GEPROS. Gestão da Produção, Operações e Sistemas (Online)",B4
2358-0666,Gavagai: Revista Interdisciplinar de Humanidades,C 
1676-5680,Genetics and Molecular Research,B1
1980-900X,Geociências (São Paulo. Online),B2
1578-5157,Geofocus (Madrid),B5
0100-7912,Geografia (Rio Claro. Impresso),B4
1984-1647,Geografia em Atos (Online),B4
0091-7613,"Geology (Boulder, Colo.)",A1
0169-555X,Geomorphology (Amsterdam),A1
0104-4486,Geonomos,B4
0094-8276,Geophysical Research Letters,A2
1072-6349,Geosynthetics International,A2
1751-7613,Geosynthetics International (Online),A2
0046-5828,Geotechnical Engineering Journal of the SEAGS & AGSSEA,B2
0016-8505,Geotechnique,A1
0379-9522,Geotecnia (Lisboa),B3
0266-1144,Geotextiles and Geomembranes,A1
0104-530X,Gestão & Produção (UFSCAR. Impresso),B2
1981-1543,Gestão & Tecnologia de Projetos,B4
2248-9630,Global Journal of Environmental Science and Technology,C 
0975-5861,Global Journal of Researches in Engineering,B5
1790-7632,Global NEST Journal,B1
1809-6646,Governet. Boletim de Licitações e Contratos,B5
2043-0779,Greenhouse Gas Measurement and Management,B2
2045-2543,Géotechnique Letters,B5
1519-8634,HOLOS Environment (Online),B4
0197-3975,Habitat International,A2
0719-0700,Habitat Sustentable,B4
1949-5005,Health (Irvine),B5
2236-8906,Hoehnea,B4
1807-1600,Holos (Natal. Online),B5
0018-3768,Holz als Roh- und Werkstoff (Print) / European Journal of Wood and Wood Products (Print),B2
1980-2218,Hydro (São Paulo),B5
0018-8158,Hydrobiologia (The Hague. Print),B1
0885-6087,Hydrological Processes (Print),A1
0262-6667,Hydrological Sciences Journal,A1
1812-2116,Hydrology and Earth System Sciences Discussions (Online),C 
1980-1726,Hygeia : Revista Brasileira de Geografia Médica e da Saúde (Uberlândia),B4
0144-7815,IAHS-AISH Publication,B2
0278-0097,IEEE Technology & Society Magazine,B2
1735-1472,INT J ENVIRON SCI TE,A1
0219-6220,INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,B2
1755-1315,IOP Conference Series. Earth and Environmental Science (Online),B3
1757-8981,IOP Conference Series: Materials Science and Engineering (Print),B5
2250-3021,IOSR Journal of Engineering,B5
2278-1684,IOSR Journal of Mechanical and Civil Engineering,B5
2278-8719,IOSRJEN Journal of Engineering,B5
2220-9964,ISPRS International Journal of Geo-Information,B2
0924-2716,ISPRS Journal of Photogrammetry and Remote Sensing,B1
2090-746X,ISRN Renewable Energy,C 
2237-4523,Iberoamerican Journal of Applied Computing,B5
2175-8018,Iberoamerican Journal of Industrial Engineering,B5
0073-4721,Iheringia. Série Zoologia (Impresso),B2
1461-5517,Impact Assessment and Project Appraisal (Print),B4
2236-269X,Independent Journal of Management & Production,B5
0970-9290,Indian Journal of Dental Research,C 
0926-6690,Industrial Crops and Products (Print),B1
0036-8792,Industrial Lubrication and Tribology,B2
0718-0764,Informacion Tecnologica,B3
0718-3305,Ingeniare. Revista Chilena de Ingeniería (En línea),B2
1518-7012,Interações (UCDB),B3
2325-3991,Interdisciplinary Journal of Portuguese Diaspora Studies,C 
0092-2102,Interfaces (Providence),B2
2316-3313,Interfaces Científicas - Saúde e Ambiente,C 
0236-8722,International Agrophysics,B1
0939-9585,International Association of Geodesy Symposia,C 
0964-8305,International Biodeterioration & Biodegradation,A2
1913-9012,International Business Research,C 
1365-2591,International Endodontic Journal Online,B2
2040-7939,International Journal for Numerical Methods in Biomedical Engineering (Print),B1
0029-5981,International Journal for Numerical Methods in Engineering (Print),A1
0271-2091,International Journal for Numerical Methods in Fluids (Print),A2
0363-9061,International Journal for Numerical and Analytical Methods in Geomechanics (Print),A2
0020-7128,International Journal of Biometeorology (Print),B1
1923-4015,International Journal of Business Administration,C 
0899-8418,International Journal of Climatology,A1
2166-479X,International Journal of Composite Materials,B3
2166-4919,International Journal of Composite Materials (Online),B4
1793-6969,International Journal of Computational Methods,B3
0975-4660,International Journal of Computer Science and Information Technology (Print),B5
2165-8919,International Journal of Ecosystem,C 
0363-907X,International Journal of Energy Research (Print),B1
2076-2895,International Journal of Energy and Environment (Print),B3
0020-7225,International Journal of Engineering Science,B1
1478-9876,International Journal of Environment and Waste Management (Print),B2
0306-7319,International Journal of Environmental Analytical Chemistry (Print),B1
1660-4601,International Journal of Environmental Research and Public Health,A2
0142-1123,International Journal of Fatigue,A1
1459-0263,"International Journal of Food, Agriculture and Environment (Online)",B2
1459-0255,"International Journal of Food, Agriculture and Environment (Print)",B3
1532-3641,International Journal of Geomechanics,B2
2156-8359,International Journal of Geosciences,B3
0020-7292,International Journal of Gynaecology and Obstetrics,B1
0017-9310,International Journal of Heat and Mass Transfer,A2
1448-5869,International Journal of Hybrid Intelligent Systems,B5
0360-3199,International Journal of Hydrogen Energy,A2
1712-7882,International Journal of Innovations in Materials Science and Engineering,C 
1349-4198,"International Journal of Innovative Computing, Information & Control",B2
2043-8656,International Journal of Lifecycle Performance Engineering,C 
1742-7967,International Journal of Logistics Systems and Management (Print),B2
2166-5389,International Journal of Materials Engineering,B3
2166-5400,International Journal of Materials Engineering,B3
0020-7403,International Journal of Mechanical Sciences,B1
1998-4448,International Journal of Mechanics,C 
2095-2686,International Journal of Mining Science and Technology,B3
1982-6036,International Journal of Modeling and Simulation for the Petroleum Industry (Impresso),B3
1982-6028,International Journal of Modeling and Simulation for the Petroleum Industry (Online),B4
1422-0067,International Journal of Molecular Sciences (Online),B1
2277-4459,International Journal of New Innovations,C 
0020-7462,International Journal of Non-Linear Mechanics,A2
0973-1318,International Journal of Performability Engineering,B3
1522-6514,International Journal of Phytoremediation,B1
0749-6419,International Journal of Plasticity,A1
0308-0161,International Journal of Pressure Vessels and Piping,A2
1442-133X,International Journal of Renewable Energy Engineering,B5
2076-734X,International Journal of Research and Reviews in Applied Sciences,C 
1365-1609,International Journal of Rock Mechanics and Mining Sciences (1997),A2
0020-7683,International Journal of Solids and Structures,A1
0219-4554,International Journal of Structural Stability and Dynamics,B1
1743-761X,International Journal of Sustainable Development and Planning (Online),B2
1743-7601,International Journal of Sustainable Development and Planning: encouraging the unified approach to achieve sustainability,B4
0268-3768,"International Journal, Advanced Manufacturing Technology",A2
2010-4626,International Proceedings of Economics Development and Research,C 
2035-1755,International Review of Chemical Engineering (Testo Stampato),B4
2036-9913,International Review of Civil Engineering,B4
2306-9007,International Review of Management and Business Research,C 
1970-8742,International Review of Mechanical Engineering,C 
1970-8734,International Review of Mechanical Engineering (Testo Stampato),B3
2227-2763,International journal of civil & Environmental Engineering,B3
1808-3765,Irriga (UNESP. CD-ROM),B2
2291-9694,JMIR Medical Informatics,C 
1203-8407,Journal of AOTs. Advanced Oxidation Technologies,B1
0169-4243,Journal of Adhesion Science and Technology (Print),B2
2175-9146,Journal of Aerospace Technology and Management (Online),B3
0969-6997,Journal of Air Transport Management,A2
0925-8388,Journal of Alloys and Compounds,A2
0267-9477,Journal of Analytical Atomic Spectrometry (Print),B2
0926-9851,Journal of Applied Geophysics,B1
0175-8659,Journal of Applied Ichthyology,B2
0021-8936,Journal of Applied Mechanics,A2
0021-8995,Journal of Applied Polymer Science (Print),B2
1931-3195,Journal of Applied Remote Sensing,B1
2221-1004,Journal of Applied Science and Technology,C 
1360-0532,Journal of Applied Statistics,B2
0305-4403,Journal of Archaeological Science,B3
1556-6560,Journal of Biobased Materials and Bioenergy,A2
0268-2575,Journal of Chemical Technology and Biotechnology (1986),A2
0021-9568,Journal of Chemical and Engineering Data,A2
2090-9063,Journal of Chemistry,C 
1934-7375,Journal of Chemistry and Chemical Engineering,B5
2163-2340,Journal of Civil Engineering Research,C 
1934-7367,Journal of Civil Engineering and Architecture (Online),B3
1934-7359,Journal of Civil Engineering and Architecture (Print),B3
1392-3730,Journal of Civil Engineering and Management,B1
0959-6526,Journal of Cleaner Production,A1
0749-0208,Journal of Coastal Research,A2
1551-5036,Journal of Coastal Research,A2
0021-9797,Journal of Colloid and Interface Science (Print),B1
1090-0268,Journal of Composites for Construction,A2
0733-9364,Journal of Construction Engineering and Management,B1
0143-974X,Journal of Constructional Steel Research,A2
0169-7722,Journal of Contaminant Hydrology,A1
0733-9402,Journal of Energy Engineering,B1
0195-0738,Journal of Energy Resources Technology,A2
1726-0531,"Journal of Engineering, Dsign and Technology",B3
1464-3332,Journal of Environmental Assessment Policy and Management,B2
2213-3437,Journal of Environmental Chemical Engineering,B4
0733-9372,"Journal of Environmental Engineering (New York, N.Y.)",A1
0301-4797,Journal of Environmental Management,A1
2152-2219,Journal of Environmental Protection (Online),C 
2152-2197,Journal of Environmental Protection (Print),B3
0047-2425,Journal of Environmental Quality,A1
1093-4529,"Journal of Environmental Science and Health. Part A, Toxic Hazardous Substances and Environmental Engineering",A2
0360-1234,"Journal of Environmental Science and Health. Part B. Pesticides, Food Contaminants, and Agricultural Wastes",B2
2277-0704,Journal of Environmental Science and Water Resources,B3
1746-4269,Journal of Ethnobiology and Ethnomedicine,B3
1090-0241,Journal of Geotechnical and Geoenvironmental Engineering,A2
0304-3894,Journal of Hazardous Materials (Print),A1
2317-3084,Journal of Health and Biological Sciences,C 
1381-1231,Journal of Heuristics,B2
1084-0699,Journal of Hydrologic Engineering,A2
0022-1694,Journal of Hydrology (Amsterdam),A1
1972-2680,Journal of Infection in Developing Countries (Online),B2
1469-1930,Journal of Intellectual Capital,B3
0921-0296,Journal of Intelligent & Robotic Systems,B1
2150-8410,Journal of Intelligent Learning Systems and Applications,C 
2374-2682,Journal of Law and Criminal Justice,C 
1076-5174,Journal of Mass Spectrometry (Print),B1
0924-0136,Journal of Materials Processing Technology,A2
2238-7854,Journal of Materials Research and Technology,B4
0022-2461,Journal of Materials Science,A1
1934-8959,Journal of Materials Science and Engineering,B2
0899-1561,Journal of Materials in Civil Engineering,A1
2159-5275,Journal of Mechanics Engineering and Automation,C 
2156-7018,Journal of Medical Imaging and Health Informatics,B1
1996-0875,Journal of Medicinal Plant Research,B2
0376-7388,Journal of Membrane Science (Print),A2
1948-5948,Journal of Microbial & Biochemical Technology,B3
0167-7012,Journal of Microbiological Methods,B2
0022-2720,Journal of Microscopy (Print),B2
2317-3963,Journal of Modern Project Management,B5
1381-1169,"Journal of Molecular Catalysis. A, Chemical (Print)",B1
0022-2860,Journal of Molecular Structure (Print),B1
1687-4129,Journal of Nanomaterials,C 
0892-7219,Journal of Offshore Mechanics and Arctic Engineering,B1
0920-4105,Journal of Petroleum Science & Engineering,B1
0022-3670,Journal of Physical Oceanography,B1
1742-6596,Journal of Physics. Conference Series (Online),B5
1538-5132,Journal of Planning History,C 
1920-7603,Journal of Pollination Ecology,C 
1052-3928,Journal of Professional Issues in Engineering Education and Practice,B1
1941-7012,Journal of Renewable and Sustainable Energy,A2
2319-1651,Journal of Research in Plant Sciences,C 
1674-7755,Journal of Rock Mechanics and Geotechnical Engineering,B2
0022-4456,Journal of Scientific & Industrial Research (1963),B1
2320-0059,Journal of Scientometric Research,B5
1615-9306,Journal of Separation Science (Print),A2
0730-8000,Journal of Shellfish Research,B2
1439-0108,Journal of Soils and Sediments (Print),A1
0022-460X,Journal of Sound and Vibration,A1
0895-9811,Journal of South American Earth Sciences,B1
0733-9453,Journal of Surveying Engineering,A2
0090-3973,Journal of Testing and Evaluation,B1
1388-6150,Journal of Thermal Analysis and Calorimetry,B2
0946-672X,Journal of Trace Elements in Medicine and Biology,B2
0966-6923,Journal of Transport Geography,A1
2238-1031,Journal of Transport Literature,B3
0733-947X,Journal of Transportation Engineering,A2
0733-9488,Journal of Urban Planning and Development,A2
1982-3932,Journal of Urban and Environmental Engineering (UFPB),B2
1945-3094,Journal of Water Resource and Protection,C 
1945-3108,Journal of Water Resource and Protection,C 
0733-9496,Journal of Water Resources Planning and Management,A2
1606-9935,Journal of Water Supply: Research and Technology. AQUA,B2
1477-8920,Journal of Water and Health,A2
1096-2247,Journal of the Air & Waste Management Association (1995),A2
0022-4928,Journal of the Atmospheric Sciences,B1
1808-3331,Journal of the Brazilian Air Transportation Research Society,B3
0103-5053,Journal of the Brazilian Chemical Society (Impresso),B1
1678-4790,Journal of the Brazilian Chemical Society (Online),B1
1678-5878,Journal of the Brazilian Society of Mechanical Sciences and Engineering (Impresso),B1
0955-2219,Journal of the European Ceramic Society,A1
1688-2873,Journal of the International Hydrologic Program for Latin America and Caribbean (AquaLac),B5
1013-9826,Key Engineering Materials,B2
1662-9795,Key Engineering Materials (Online),B3
2176-8846,Labor & Engenho,B4
1981-1152,Labor & Engenho (Centro de Memória Unicamp),B5
0264-8377,Land Use Policy,A2
0327-0793,Latin American Applied Research,B1
0718-560X,Latin American Journal of Aquatic Research,B3
1679-7817,Latin American Journal of Solids and Structures (Impresso),B1
0023-6438,Lebensmittel-Wissenschaft + Technologie / Food Science + Technology,B2
0302-9743,Lecture Notes in Computer Science,B3
1871-1413,Livestock Science (Print),B2
1806-0382,Lume Arquitetura (São Paulo),C 
1755-2672,Marine Biodiversity Records,B3
1745-1000,Marine Biology Research (Print),B2
0149-0419,Marine Geodesy,B1
0025-326X,Marine Pollution Bulletin.,A2
0951-8339,Marine Structures,B1
0950-2289,Masonry International,B2
1988-3226,Materiales de Construccion,B3
1996-1944,Materials (Basel),A2
1044-5803,Materials Characterization,A2
0167-577X,Materials Letters (General ed.),A2
1516-1439,Materials Research (São Carlos. Impresso),B1
0921-5093,"Materials Science & Engineering. A, Structural Materials: Properties, Microstructure and Processing",A1
0928-4931,"Materials Science & Engineering. C, Biomimetic Materials, Sensors and Systems (Print)",A2
0255-5476,Materials Science Forum,B3
1662-9752,Materials Science Forum (Online),B3
2083-1331,Materials Science-Poland,B2
1359-5997,Materials and Structures,A1
1871-6873,Materials and Structures (Online),C 
1024-123X,Mathematical Problems in Engineering (Print),A2
0378-4754,Mathematics and Computers in Simulation (Print),A2
1081-2865,Mathematics and Mechanics of Solids,B1
2041-3165,"Mathematics in Engineering, Science and Aerospace: the transdisciplinary international journal",B5
1517-7076,Matéria (UFRJ),B2
0025-6455,Meccanica (Milano. Print),A2
0888-3270,Mechanical Systems and Signal Processing,A2
0093-6413,Mechanics Research Communications,A2
1537-6494,Mechanics of Advanced Materials and Structures,A2
1666-6070,Mecánica Computacional,C 
1806-650X,Meio Ambiente Industrial (São Paulo),B5
0874-3738,Metálica,C 
0095-3628,Microbial Ecology,B1
0026-265X,Microchemical Journal (Print),B1
0895-2477,Microwave and Optical Technology Letters (Print),B3
0892-6875,Minerals Engineering,B1
1982-9922,Minha Cidade,C 
2152-7261,Modern Economy,B5
1420-3049,Molecules (Basel. Online),A2
1828-695X,Multidisciplinary Respiratory Medicine,B3
1573-0832,Mycopathologia (Dordrecht. Online),B3
0921-030X,Natural Hazards (Dordrecht),B1
1679-0073,Natureza & Conservação,B1
1806-7409,Natureza On Line (Espírito Santo),B5
1809-9939,Neotropical Biology and Conservation,B3
0941-0643,Neural Computing & Applications (Print),B1
1210-0552,Neural Network World (Prague),B1
1516-6481,Novos Cadernos NAEA,B5
