ISSN,Título,Estrato
1518-9082,Boletim Técnico da Faculdade de Tecnologia de São Paulo,B5
0102-549X,Boletim Técnico do SENAC,B5
1676-5664,Boletim Técnico-Científico do CEPNOR,B5
1982-2170,Boletim de Ciências Geodésicas (Online),B2
2176-4786,Boletim de Geografia (Online),B5
2177-4560,Boletin do Observatório Ambiental Alberto Ribeiro Lamego,B5
0366-3175,Boletín de la Sociedad Española de Cerámica y Vidrio,B1
1808-1983,Brasil em Números (Edição em Inglês. Impresso),B5
1516-8913,Brazilian Archives of Biology and Technology (Impresso),B2
0103-6440,Brazilian Dental Journal (Impresso),B2
2178-6011,Brazilian Dental Science,B5
1519-6984,Brazilian Journal of Biology (Impresso),B1
1679-8759,Brazilian Journal of Oceanography (Impresso),B2
1679-8171,Brazilian Journal of Operations and Production Management,B4
1677-3225,Brazilian Journal of Oral Sciences (Online),B3
1982-0593,Brazilian Journal of Petroleum and Gas,B5
0103-9733,Brazilian Journal of Physics (Impresso),B1
0103-0752,Brazilian Journal of Probability and Statistics,B2
1806-8324,Brazilian Oral Research (Impresso),B1
0125-6726,Buffalo Bulletin,B2
1351-010X,Building Acoustics,B2
0003-0007,Bulletin of the American Meteorological Society,A1
2047-7031,Business Management Dynamics,B4
1751-5637,Business Strategy Series (Print),B3
0102-3543,C&T. Revista Militar de Ciência e Tecnologia,B5
Jul-06,CIRP Annals,A1
1668-0030,"CTS. Ciencia, Tecnología y Sociedad",B4
0103-4979,Caderno CRH (UFBA. Impresso),B3
1677-5600,Caderno de Pesquisa. Série Biologia (UNISC),B5
1984-2147,Cadernos Brasileiros de Saúde Mental,B5
1982-5447,Cadernos Gestão Social,B5
2236-9996,Cadernos Metrópole,B5
1809-9475,Cadernos UniFOA (Impresso),B5
1413-2095,Cadernos de Arquitetura e Urbanismo (PUCMG),B5
1982-758X,Cadernos de Educação (Brasília),B5
1806-8944,Cadernos de Finanças Públicas,B5
2178-2229,Cadernos de Pesquisa,B5
2317-0026,Cadernos de Prospecção,B5
1983-1358,Cadernos de Prospecção,B5
0102-311X,Cadernos de Saúde Pública (ENSP. Impresso),B1
0104-4931,Cadernos de Terapia Ocupacional da UFSCar,B4
1413-9022,Cadernos do IME. Série Estatística,B4
Aug-34,Canadian Journal of Chemical Engineering,B1
0315-1468,Canadian Journal of Civil Engineering (Print),B1
Aug-95,Canadian Mathematical Bulletin,B1
0144-8617,Carbohydrate Polymers,A1
Aug-68,Caries Research,A1
0263-6484,Cell Biochemistry and Function,B1
1389-9333,Cell and Tissue Banking,B2
0969-0239,Cellulose (London),A1
1896-1541,Central European Journal of Engineering,B4
1895-1082,Central European Journal of Physics (Print),B1
1042-1122,Ceramic Transactions,B3
0272-8842,Ceramics International,A1
1421-9786,Cerebrovascular Diseases,B2
0366-6913,Cerâmica (São Paulo. Impresso),B3
1413-4608,Cerâmica Industrial (Impresso),B4
0930-7516,Chemical Engineering & Technology,A2
1385-8947,Chemical Engineering Journal (1996),A1
Sep-09,Chemical Engineering Science,A1
1974-9791,Chemical Engineering Transactions,B5
Sep-14,Chemical Physics Letters (Print),B1
2231-6035,Chemical Sensors,B5
1752-153X,Chemistry Central Journal,B1
0045-6535,Chemosphere (Oxford),A1
0718-5820,Chilean Journal of Agricultural Research (Print),B2
0718-7912,Chilean Journal of Statistics,B4
1537-1506,Chinese Business Review,B5
1984-9710,"Cientec: Revista de Ciência, Tecnologia e Humanidades do IFPE (Online)",B5
2177-4005,Cinergis,B5
0264-2751,Cities,A1
1983-4071,Ciência & Engenharia,B3
0103-944X,Ciência & Engenharia (UFU. Impresso),B3
0103-9954,Ciência Florestal (UFSM. Impresso),B2
0101-8515,Ciência Hoje,B5
1516-7313,Ciência e Educação (UNESP. Impresso),B4
2179-460X,Ciência e Natura,B5
0100-8307,Ciência e Natura,B5
1413-8123,Ciência e Saúde Coletiva (Impresso),B2
1678-457X,Ciência e Tecnologia de Alimentos (Online),B2
1806-5821,Ciências & Cognição (UFRJ),B4
1981-4747,Ciências Sociais em Perspectiva,B5
1677-9665,Ciências Sociais em Perspectiva (Impresso),B5
1863-0650,Clean (Weinheim. Print),B1
1469-3062,Climate Policy,A2
1756-5537,Climate and Development,B2
0165-0009,Climatic Change,A1
1981-4232,Climatização & Refrigeração,B5
0905-7161,Clinical Oral Implants Research,A1
1807-5932,Clinics,B1
2317-1782,CoDAS,B4
1469-493X,Cochrane Database of Systematic Reviews (Online),A1
0927-7757,"Colloids and Surfaces. A, Physicochemical and Engineering Aspects (Print)",B1
1364-7830,Combustion Theory and Modelling,A2
Oct-80,Combustion and Flame,A1
1865-0929,Communications in Computer and Information Science (Print),B3
1007-5704,Communications in Nonlinear Science & Numerical Simulation,A2
0361-0918,Communications in Statistics. Simulation and Computation,B2
0361-0926,Communications in Statistics. Theory and Methods,B2
0332-1649,Compel (Bradford),B2
0334-181X,Composite Materials Science,B1
0263-8223,Composite Structures,A1
0266-3538,Composites Science and Technology,A1
1359-835X,"Composites. Part A, Applied Science and Manufacturing",A1
1359-8368,"Composites. Part B, Engineering",A1
1631-0721,Comptes Rendus. Mécanique,B1
1807-0302,Computational & Applied Mathematics,B1
0178-7675,Computational Mechanics,A1
1432-0924,Computational Mechanics (Berlin. Internet),A1
0926-6003,Computational Optimization and Applications,B1
0167-9473,Computational Statistics & Data Analysis (Print),B1
1613-9658,Computational Statistics (Zeitschrift. Internet),B2
Oct-85,Computer Aided Design,A2
0169-2607,Computer Methods and Programs in Biomedicine (Print),B1
0045-7825,Computer Methods in Applied Mechanics and Engineering,A1
1025-5842,Computer Methods in Biomechanics and Biomedical Engineering,B1
1526-1506,Computer Modeling in Engineering & Sciences,B1
1526-1492,Computer Modeling in Engineering & Sciences (Print),B1
1934-7332,Computer Technology and Application,B5
0098-1354,Computers & Chemical Engineering,A1
0045-7930,Computers & Fluids,B1
0098-3004,Computers & Geosciences,B1
0360-8352,Computers & Industrial Engineering,B1
0898-1221,Computers & Mathematics with Applications (1987),A2
0305-0548,Computers & Operations Research,A2
0045-7949,Computers & Structures,A1
1598-8198,"Computers and Concrete, an International Journal (Print)",B1
0360-1315,Computers and Education,A2
2175-8751,ConTexto,B5
1532-0626,Concurrency and Computation,B1
2237-7379,Conexão Academia,B5
2176-7777,Conexão SIPAER,B5
1678-0183,Conjuntura & Informação,B5
1807-4871,Conjuntura Econômica Goiana,B5
0950-0618,Construction & Building Materials,A2
Oct-12,"Corrosion (Houston, Tex.)",A1
1478-422X,"Corrosion Engineering, Science and Technology",B1
0100-1485,Corrosão e Proteção,B5
1808-351X,Corte e Conformação de Metais,B5
Oct-25,Cosmic Research,B2
0120-3592,Cuadernos de Administración. Serie de Organizaciones,B3
1139-7861,Cuadernos de Turismo,B4
1573-4110,Current Analytical Chemistry,B1
1567-1739,Current Applied Physics,B1
1877-9468,Current Physical Chemistry,B4
1808-2882,Custos e @gronegócio Online,B2
1808-3129,DAPesquisa,B5
Dec-53,DYNA (Medellín),B2
1517-3801,Datagramazero (Rio de Janeiro),B5
0167-9236,Decision Support Systems,A1
0109-5641,Dental Materials,A1
2008-0255,Dental Research Journal,B4
2317-949X,Desafio Online,B5
1944-3986,Desalination and Water Treatment (Online),B1
1944-3994,Desalination and Water Treatment (Print),B1
1518-952X,Desenvolvimento e Meio Ambiente (UFPR),B5
0929-5585,Design Automation for Embedded Systems,B2
0925-1022,"Designs, Codes and Cryptography",B1
0925-9635,Diamond and Related Materials,B1
0971-3514,Differential Equations and Dynamical Systems,B2
1132-175X,Direccion y Organizacion,B3
1748-3107,Disability and Rehabilitation: Assistive Technology,B2
0166-218X,Discrete Applied Mathematics,B1
0012-365X,Discrete Mathematics,B1
1365-8050,Discrete Mathematics and Theoretical Computer Science (Online),B5
0737-3937,Drying Technology,A2
1532-2300,Drying Technology (On LIne),A2
0143-7208,Dyes and Pigments,A1
1983-1838,E-tech: Tecnologias para Competitividade Industrial,B5
1938-5862,ECS Transactions,B5
1938-6737,ECS Transactions (Online),B5
1577-5097,ELCVIA. Electronic letters on computer vision and image analysis,B3
1792-8036,"ETASR - Engineering, Technology & Applied Science Research",B4
Dec-52,Earth-Science Reviews,A1
1470-160X,Ecological Indicators,A2
1545-2921,Economics Bulletin,B3
0422-2784,Economía Industrial,B5
0147-6513,Ecotoxicology and Environmental Safety,B1
1678-0701,Educação Ambiental em Ação,B5
1414-3895,Educação Gráfica (UNESP. Bauru),B5
1983-3156,Educação Matemática Pesquisa (Online),B5
1532-5008,Electric Power Components and Systems,B1
0378-7796,Electric Power Systems Research (Print),B1
0948-7921,Electrical Engineering (Berlin. Print),B2
0013-4686,Electrochimica Acta,A1
1571-0653,Electronic Notes in Discrete Mathematics,B2
0013-5194,Electronics Letters,B1
1350-911X,Electronics Letters (Online),B1
1414-8862,Eletrônica de Potência (Impresso),B4
1809-0583,Enciclopédia Biosfera,B5
1996-1073,Energies (Basel),B1
1520-5029,Energy & Fuels (Online),A2
0887-0624,Energy & Fuels (Print),A2
0360-5442,Energy (Oxford),A1
0196-8904,Energy Conversion and Management,A1
0301-4215,Energy Policy,A2
1876-6102,Energy Procedia,B5
0973-0826,Energy Sustainable Development,B1
0378-7788,Energy and Buildings,A1
1927-0577,Energy and Environment Research,B5
1947-3818,Energy and Power Engineering,B4
1984-882X,Enfoque,B4
0100-6916,Engenharia Agrícola (Impresso),B2
1413-4152,Engenharia Sanitária e Ambiental,B2
1676-1790,Engenharia Térmica,B4
1415-7314,Engevista (UFF),B4
1947-3931,Engineering,B5
0955-7997,Engineering Analysis with Boundary Elements,A2
0952-1976,Engineering Applications of Artificial Intelligence,A2
0264-4401,Engineering Computations,B1
1350-6307,Engineering Failure Analysis,A2
0013-7944,Engineering Fracture Mechanics,A2
1042-9247,Engineering Management Journal,B2
0305-215X,Engineering Optimization (Print),A2
2179-7625,Engineering Research,B5
0141-0296,Engineering Structures,A2
0104-4036,Ensaio (Fundação Cesgranrio. Impresso),B2
0212-4521,Enseñanza de las Ciencias,B2
1132-9157,Enseñanza de las Ciencias de la Tierra,B5
1387-585X,"Environment, Development and Sustainability",B2
1866-6299,Environmental Earth Sciences (Internet),B1
1092-8758,Environmental Engineering Science,B1
1567-7419,Environmental Fluid Mechanics (Dordrecht. 2001),B1
1420-2026,Environmental Modeling & Assessment,B1
0269-7491,Environmental Pollution (1987),A1
1088-1913,Environmental Quality Management (Print),B2
1462-9011,Environmental Science & Policy,A1
0959-3330,Environmental Technology,B1
1352-8505,Environmental and Ecological Statistics,B1
1525-5050,Epilepsy & Behavior (Print),B1
0798-1015,Espacios (Caracas),B3
1807-8575,Espaço Energia,B5
0327-5841,Estudios y Perspectivas en Turismo,B4
1851-1732,Estudios y Perspectivas en Turismo (En Línea),B4
1983-036X,Estudo & Debate (Online),B5
1808-7310,Estudos Tecnológicos (Online),B5
1983-196X,Estudos em Design (Online),B4
1809-0400,Ethos & Episteme (UFAM),B5
1818-6300,European Archives of Paediatric Dentistry (Print),B4
2235-767X,European Journal of Business and Social Sciences,B4
0947-3580,European Journal of Control,B1
0997-7538,"European Journal of Mechanics. A, Solids",A2
0377-2217,European Journal of Operational Research,A1
0141-5387,European Journal of Orthodontics (Print),A2
0928-0987,European Journal of Pharmaceutical Sciences,A2
1434-6052,European Physical Journal C. Particles and Fields,B2
2190-5444,European Physical Journal Plus,B1
1434-6036,"European Physical Journal. B, Condensed Matter and Complex Systems (Internet)",B2
1434-6044,"European Physical Journal. C, Particles and Fields (Print)",A1
1857-7431,European Scientific Journal,B5
1983-9308,Exacta (Online),B4
1678-5428,Exacta (São Paulo. Impresso),B4
0891-6152,Experimental Heat Transfer,B1
0014-4851,Experimental Mechanics,A2
1741-2765,Experimental Mechanics (Online),A2
0014-4894,Experimental Parasitology,B1
0894-1777,Experimental Thermal and Fluid Science,A1
0957-4174,Expert Systems with Applications,A2
1982-4432,Extensão em Foco (Curitiba),B5
1516-6503,FACEF Pesquisa,B4
8756-758X,Fatigue & Fracture of Engineering Materials & Structures (Print),B1
1981-240X,Ferramental (Curitiba),B5
1230-3666,Fibres & Textiles in Eastern Europe,B1
1867-8521,Field Actions Science Reports,B3
0263-5046,First Break,B4
1982-4688,Floresta (Online) (Curitiba),B2
0015-3826,Floresta (UFPR. Impresso),B2
0955-5986,Flow Measurement and Instrumentation,B1
0268-005X,Food Hydrocolloids,A1
0963-9969,Food Research International,A1
0379-0738,Forensic Science International,A2
1233-1821,Foundations of Science (Print),B5
1971-8993,Frattura e Integrita Strutturale,B3
1664-3224,Frontiers in Immunology (Online),B2
0210-0665,"Frío, Calor, Aire Acondicionado",B5
0016-2361,Fuel (Guildford),A1
1615-6846,Fuel Cells (Weinheim. Print),B1
0378-3820,Fuel Processing Technology,A1
0167-739X,Future Generation Computer Systems,A1
2175-5825,Future Studies Research Journal,B4
1545-5823,Futures for Small Speculators,B2
1980-0827,Fórum Ambiental da Alta Paulista,B5
1809-614X,"GEPROS. Gestão da Produção, Operações e Sistemas",B4
1984-2430,"GEPROS. Gestão da Produção, Operações e Sistemas (Online)",B4
1676-5680,Genetics and Molecular Research,B2
0102-9800,Geochimica Brasiliensis,B4
1745-5863,Geographical Research (Print),B1
1519-874X,Geologia USP. Série Científica,B3
0016-7606,Geological Society of America Bulletin,A1
0169-555X,Geomorphology (Amsterdam),A2
0956-540X,Geophysical Journal International (Print),A2
0016-8025,Geophysical Prospecting (Print),B1
0016-8033,Geophysics,B1
1414-7416,Geousp (USP),B5
1806-9649,Gestão & Produção,B3
0104-530X,Gestão & Produção (UFSCAR. Impresso),B3
2176-5308,Gestão & Regionalidade (Online),B5
1981-1543,Gestão & Tecnologia de Projetos,B5
2238-4170,Gestão Contemporânea,B5
1809-0214,Gestão Contemporânea (FAPA),B5
1807-5436,Gestão e Desenvolvimento (FEEVALE),B5
1679-1827,Gestão.Org,B4
1676-2819,Global Manager (FSG),B5
0017-467X,Ground Water,A2
1078-9669,HVAC & R Research,B1
0145-7632,Heat Transfer Engineering,B1
0947-7411,Heat and Mass Transfer,B1
0018-1544,High Temperatures. High Pressures (Print),B2
0101-9171,Higiene Alimentar,B5
1807-1600,Holos (Natal. Online),B4
0018-7208,Human Factors,B1
0340-6717,Human Genetics,A1
1080-7039,Human and Ecological Risk Assessment,B1
0018-8158,Hydrobiologia (The Hague. Print),A2
0262-6667,Hydrological Sciences Journal,B1
1980-1726,Hygeia : Revista Brasileira de Geografia Médica e da Saúde (Uberlândia),B5
0885-8985,IEEE Aerospace and Electronic Systems Magazine,B5
1089-7798,IEEE Communications Letters (Print),B1
0163-6804,IEEE Communications Magazine (Print),B5
0094-2898,IEEE Conference Publications,B5
0364-9059,IEEE Journal of Oceanic Engineering,A2
1558-7908,IEEE Multidisciplinary Engineering Education Magazine,B5
1540-7977,IEEE Power & Energy Magazine,B5
1051-8223,IEEE Transactions on Applied Superconductivity (Print),B1
0018-9286,IEEE Transactions on Automatic Control (Print),A1
1549-8328,"IEEE Transactions on Circuits and Systems. I, Regular Papers (Print)",A1
1070-9878,IEEE Transactions on Dielectrics and Electrical Insulation,B1
1063-6706,IEEE Transactions on Fuzzy Systems,A1
0278-0046,IEEE Transactions on Industrial Electronics (1982. Print),A1
0018-9448,IEEE Transactions on Information Theory,A1
0018-9456,IEEE Transactions on Instrumentation and Measurement,A2
0018-9464,IEEE Transactions on Magnetics,B1
0018-9499,IEEE Transactions on Nuclear Science,A2
0093-3813,IEEE Transactions on Plasma Science,B1
0885-8977,IEEE Transactions on Power Delivery,A2
0885-8950,IEEE Transactions on Power Systems,A1
0018-9529,IEEE Transactions on Reliability,A1
1083-4419,"IEEE Transactions on Systems, Man and Cybernetics. Part B. Cybernetics",A1
0885-3010,"IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control",A2
1083-4435,IEEE/ASME Transactions on Mechatronics,A1
1751-8644,IET Control Theory & Applications (Print),B1
2042-9738,IET Electrical Systems in Transportation,B2
1868-4238,IFIP Advances in Information and Communication Technology,B3
1680-0737,IFMBE Proceedings,B3
2227-2712,IJET: International Journal of Engineering & Technology,B5
1659-2549,INCAE Business Review,B5
1807-4545,INFOCOMP (UFLA. Impresso),B5
2250-3021,IOSR Journal of Engineering,C 
2278-1684,IOSR Journal of Mechanical and Civil Engineering,C 
2320-737X,IOSR Journal of Research & Method in Education,C 
2278-8719,IOSRJEN Journal of Engineering,C 
0915-1559,ISIJ International,A1
2090-8903,ISRN Corrosion,B5
2175-8018,Iberoamerican Journal of Industrial Engineering,B4
2027-7040,Iberoamerican Journal of Project Management (IJoPM),B5
0718-3429,Idesia,B2
1538-2982,Implant Dentistry (Online),B1
2236-269X,Independent Journal of Management & Production,B5
0971-4588,Indian Journal of Engineering and Materials Sciences (Print),B1
1420-326X,Indoor + Built Environment,B1
0888-5885,Industrial & Engineering Chemistry Research,A2
0926-6690,Industrial Crops and Products (Print),A1
0263-5577,Industrial Management + Data Systems,B1
0019-8501,Industrial Marketing Management,A2
0950-4222,Industry & Higher Education,B4
0718-0764,Informacion Tecnologica,B2
0306-4379,Information Systems (Oxford),B1
0104-0146,Informação & Sociedade (UFPB. Impresso),B2
0100-4409,Informações Econômicas (Impresso),B5
1350-4495,Infrared Physics & Technology,B1
0718-3305,Ingeniare. Revista Chilena de Ingeniería (En línea),B3
1815-5944,Ingenieria Mecanica (Online),B5
1069-2509,Integrated Computer-Aided Engineering,A1
0378-1844,Interciencia (Caracas),B2
2316-3313,Interfaces Científicas - Saúde e Ambiente,B4
1809-9777,International Archives of Otorhinolaryngology (Print),B3
0735-1933,International Communications in Heat and Mass Transfer,A2
2176-5480,International Congress of Mechanical Engineering (Cd-Rom),B5
2040-2570,International Journal for Digital Society,B5
2040-7939,International Journal for Numerical Methods in Biomedical Engineering (Print),B1
0029-5981,International Journal for Numerical Methods in Engineering (Print),A1
0271-2091,International Journal for Numerical Methods in Fluids (Print),B1
2152-5080,International Journal for Uncertainty Quantifications (Print),B4
1027-5851,International Journal of Acoustics and Vibration,B2
0143-7496,International Journal of Adhesion and Adhesives,A2
1433-3015,International Journal of Advanced Manufacturing Technology (Internet),B2
1729-8806,International Journal of Advanced Robotic Systems (Print),B2
2231-1963,International Journal of Advances in Engineering and Technology,B5
1947-3192,International Journal of Agricultural and Environmental Information Systems,B3
2165-882X,International Journal of Agriculture and Forestry,B5
2165-8846,International Journal of Agriculture and Forestry,B5
0924-8579,International Journal of Antimicrobial Agents (Print),A2
1546-542X,International Journal of Applied Ceramic Technology,A1
1383-5416,International Journal of Applied Electromagnetics and Mechanics,B1
1311-1728,International Journal of Applied Mathematics,B4
1301-9724,International Journal of Applied Thermodynamics,B2
0888-613X,International Journal of Approximate Reasoning,A2
1470-9511,International Journal of Automotive Technology and Management,B2
1755-9901,International Journal of Aviation Management,B4
1744-5485,International Journal of Bioinformatics Research and Applications (Print),B2
1756-0047,International Journal of Business Excellence (Print),B4
1751-0252,International Journal of Business Innovation and Research (Print),B2
2225-2436,International Journal of Business and Commerce,B4
2162-1357,"International Journal of Business, Humanities and Technology",B5
0899-8418,International Journal of Climatology,A1
2166-4919,International Journal of Composite Materials (Online),B5
0975-8887,International Journal of Computer Applications,B4
0952-8091,International Journal of Computer Applications in Technology,B2
0951-192X,International Journal of Computer Integrated Manufacturing (Print),B1
1841-9836,"International Journal of Computers, Communications & Control (Print)",B1
0020-7179,International Journal of Control (Print),B1
1364-727X,International Journal of Dairy Technology (Print),B1
1056-7895,International Journal of Damage Mechanics,B1
1550-1329,International Journal of Distributed Sensor Networks,B1
2201-6740,International Journal of Education and Research,B5
0142-0615,International Journal of Electrical Power & Energy Systems,B2
1452-3981,International Journal of Electrochemical Science (Online),B1
0363-907X,International Journal of Energy Research (Print),A1
2076-2895,International Journal of Energy and Environment (Print),B4
0949-149X,International Journal of Engineering Education,B2
0020-7225,International Journal of Engineering Science,A1
2231-5381,International Journal of Engineering Trends and Technology,C 
2305-8269,International Journal of Engineering and Applied Sciences,B5
1647-578X,International Journal of Engineering and Industrial Management,C 
1548-1115,International Journal of Enterprise Information Systems,C 
0957-4352,International Journal of Environment and Pollution,B2
1474-6778,International Journal of Environment and Sustainable Development,B3
1478-9876,International Journal of Environment and Waste Management (Print),B3
0020-7233,International Journal of Environmental Studies,B2
1466-2132,International Journal of Environmental Technology and Management,B3
1742-8297,International Journal of Exergy (Print),B1
0142-1123,International Journal of Fatigue,A2
1094-2912,International Journal of Food Properties,B1
0376-9429,International Journal of Fracture (Print),B1
2156-8359,International Journal of Geosciences,C 
0017-9310,International Journal of Heat and Mass Transfer,A1
0958-5192,International Journal of Human Resource Management,B1
2220-8488,International Journal of Humanities and Social Science,C 
0360-3199,International Journal of Hydrogen Energy,B1
1943-670X,International Journal of Industrial Engineering (Online),B2
1923-2926,International Journal of Industrial Engineering Computations,B2
2217-2661,International Journal of Industrial Engineering and Management,B3
1349-4198,"International Journal of Innovative Computing, Information & Control",B2
1548-0666,International Journal of Knowledge Management,B2
1327-2314,International Journal of Knowledge-Based Intelligent Engineering Systems,B3
2040-4166,International Journal of Lean Six Sigma,B4
0890-6955,International Journal of Machine Tools & Manufacture,A1
0976-6510,International Journal of Management (IJM),C 
1462-4621,International Journal of Management and Decision Making,B3
1368-2148,International Journal of Manufacturing Technology and Management,B3
1862-5282,International Journal of Materials Research,B1
1998-0159,International Journal of Mathematics and Computers in Simulation,B2
0020-7403,International Journal of Mechanical Sciences,A1
2047-7244,International Journal of Mechanisms and Robotic Systems,B4
